id,algorithm,server_name,endpoint,start_time,end_time,total_time,success,client_ip,created_at
3377,least_connections,img1,/webp2png,1775947443.9147973,1775947445.5722687,1.6574714183807373,1,,1775947445.5724268
3378,least_connections,img1,/webp2png,1775947444.944254,1775947446.1715643,1.2273104190826416,1,,1775947446.171791
3379,power_of_two,img1,/webp2png,1775947447.2608109,1775947448.869221,1.608410120010376,1,,1775947448.8694005
3380,round_robin,img1,/webp2png,1775947451.8232949,1775947453.5495658,1.7262709140777588,1,,1775947453.5497823
3381,power_of_two,img1,/webp2png,1775947452.5456178,1775947455.2212365,2.6756186485290527,1,,1775947455.2214348
3382,round_robin,img1,/webp2png,1775947453.0039098,1775947455.2812295,2.2773196697235107,1,,1775947455.2813578
3383,ip_hash,img1,/webp2png,1775947454.364801,1775947455.6328044,1.2680034637451172,1,,1775947455.6329756
3384,least_connections,rar1,/ziprar,1775947454.0358539,1775947457.207597,3.171743154525757,1,,1775947457.207812
3385,ip_hash,img1,/webp2png,1775947458.083234,1775947459.6886444,1.6054103374481201,1,,1775947459.6888394
3386,ip_hash,rar1,/ziprar,1775947458.6851895,1775947461.8206258,3.1354362964630127,1,,1775947461.820823
3387,random,img1,/webp2png,1775947462.9224532,1775947463.9178898,0.9954366683959961,1,,1775947463.9180937
3388,random,img1,/webp2png,1775947463.963313,1775947465.3329365,1.3696234226226807,1,,1775947465.3331103
3389,round_robin,img1,/webp2png,1775947464.6529796,1775947466.2194948,1.5665152072906494,1,,1775947466.2196777
3390,random,img1,/webp2png,1775947465.7641506,1775947466.9150062,1.150855541229248,1,,1775947466.916327
3391,least_connections,img1,/webp2png,1775947472.1473532,1775947473.8576372,1.7102839946746826,1,,1775947473.8578162
3392,power_of_two,rar1,/ziprar,1775947467.412447,1775947473.9333265,6.520879507064819,1,,1775947473.933496
3393,ip_hash,rar1,/ziprar,1775947467.9516375,1775947473.973932,6.022294521331787,1,,1775947473.974108
3394,least_connections,rar1,/ziprar,1775947468.3954651,1775947474.468737,6.073271751403809,1,,1775947474.4689198
3395,ip_hash,img1,/webp2png,1775947476.4639525,1775947478.5105228,2.046570301055908,1,,1775947478.5106797
3396,power_of_two,img1,/webp2png,1775947476.8447695,1775947479.441552,2.5967824459075928,1,,1775947479.4417286
3397,random,img1,/webp2png,1775947477.9123359,1775947480.351473,2.4391372203826904,1,,1775947480.3516676
3398,power_of_two,img1,/webp2png,1775947478.891973,1775947480.7910993,1.8991262912750244,1,,1775947480.791349
3399,power_of_two,img1,/webp2png,1775947482.5957756,1775947484.5005412,1.9047656059265137,1,,1775947484.5007117
3400,least_connections,img1,/webp2png,1775947486.837028,1775947488.174264,1.337235927581787,1,,1775947488.1744623
3401,random,img1,/webp2png,1775947487.4889462,1775947488.7482858,1.2593395709991455,1,,1775947488.7484677
3402,least_connections,img1,/webp2png,1775947488.974275,1775947490.2569337,1.282658576965332,1,,1775947490.2571545
3403,least_connections,img1,/webp2png,1775947489.617958,1775947491.1515067,1.5335485935211182,1,,1775947491.1516693
3404,ip_hash,pdf1,/pdf2png,1775947248.4374008,1775947569.0685928,320.63119196891785,1,,1775947569.0687504
3405,random,pdf1,/pdf2png,1775947248.740607,1775947569.204491,320.46388387680054,1,,1775947569.2046204
3406,least_connections,pdf1,/pdf2png,1775947247.8778386,1775947569.3660107,321.48817205429077,1,,1775947569.3661497
3407,random,pdf1,/pdf2png,1775947248.2226903,1775947569.5820742,321.3593838214874,1,,1775947569.584508
3408,random,pdf1,/pdf2png,1775947248.0179665,1775947569.6666942,321.64872765541077,1,,1775947569.666836
3409,least_connections,pdf1,/pdf2png,1775947309.5814705,1775947605.517287,295.93581652641296,1,,1775947605.5174315
3410,power_of_two,pdf1,/pdf2png,1775947308.5026758,1775947605.6206853,297.11800956726074,1,,1775947605.620827
3411,ip_hash,pdf1,/pdf2png,1775947308.7272985,1775947605.6622095,296.93491101264954,1,,1775947605.6623468
3412,power_of_two,pdf1,/pdf2png,1775947307.9873688,1775947605.7453642,297.75799536705017,1,,1775947605.7454965
3413,random,pdf1,/pdf2png,1775947368.3561635,1775947605.7636292,237.40746569633484,1,,1775947605.7638047
3414,least_connections,pdf1,/pdf2png,1775947368.0490108,1775947605.7715948,237.72258400917053,1,,1775947605.7717144
3415,round_robin,pdf1,/pdf2png,1775947309.1119177,1775947605.775341,296.66342329978943,1,,1775947605.7754672
3416,power_of_two,pdf1,/pdf2png,1775947369.6924238,1775947605.8297682,236.13734436035156,1,,1775947605.8299189
3417,random,pdf1,/pdf2png,1775947369.2678316,1775947605.8345146,236.56668305397034,1,,1775947605.8346481
3418,power_of_two,pdf1,/pdf2png,1775947368.8218544,1775947605.8611133,237.03925895690918,1,,1775947605.8613024
3419,least_connections,pdf1,/pdf2png,1775947428.6559937,1775947606.0772822,177.4212884902954,1,,1775947606.0774364
3420,least_connections,pdf1,/pdf2png,1775947429.9784427,1775947606.1467724,176.16832971572876,1,,1775947606.1469245
